,State Name,state,Number of Measles Cases,"Measles Incidence Per 100,000 People"
0,ALABAMA,AL,209582,7100.530000000007
1,ALASKA,AK,16908,7123.889999999996
2,ARIZONA,AZ,160810,18287.95000000005
3,ARKANSAS,AR,134250,7295.80000000002
4,CALIFORNIA,CA,1376847,14237.99000000017
5,COLORADO,CO,245619,18540.300000000047
6,CONNECTICUT,CT,372473,18553.37999999984
7,DELAWARE,DE,34197,11073.22000000003
8,DISTRICT OF COLUMBIA,DC,63082,9121.229999999869
9,FLORIDA,FL,165020,5729.560000000089
10,GEORGIA,GA,155486,4722.020000000065
11,HAWAII,HI,44971,7426.480000000004
12,IDAHO,ID,74087,12590.760000000024
13,ILLINOIS,IL,874102,10278.380000000052
14,INDIANA,IN,345626,8796.410000000076
15,IOWA,IA,266710,10184.080000000027
16,KANSAS,KS,223981,11911.030000000013
17,KENTUCKY,KY,312218,10778.380000000036
18,LOUISIANA,LA,64553,2570.6400000000313
19,MAINE,ME,156046,17687.659999999945
20,MARYLAND,MD,266614,12887.54000000006
21,MASSACHUSETTS,MA,816771,17818.6899999999
22,MICHIGAN,MI,1099271,18060.77999999996
23,MINNESOTA,MN,250418,8938.310000000034
24,MISSISSIPPI,MS,41401,1907.2999999999902
25,MISSOURI,MO,217247,5601.090000000098
26,MONTANA,MT,142008,23960.639999999992
27,NEBRASKA,NE,89134,6682.0999999999685
28,NEVADA,NV,11892,5130.279999999996
29,NEW HAMPSHIRE,NH,44422,8326.340000000031
30,NEW JERSEY,NJ,939219,19744.70999999979
31,NEW MEXICO,NM,84345,13111.040000000035
32,NEW YORK,NY,1792782,12617.810000000132
33,NORTH CAROLINA,NC,426727,12189.820000000102
34,NORTH DAKOTA,ND,98448,15764.439999999935
35,OHIO,OH,873959,11365.670000000111
36,OKLAHOMA,OK,114875,5040.669999999961
37,OREGON,OR,217723,15579.11000000005
38,PENNSYLVANIA,PA,1452099,14386.980000000156
39,RHODE ISLAND,RI,105834,13893.500000000031
40,SOUTH CAROLINA,SC,161040,8065.869999999972
41,SOUTH DAKOTA,SD,48637,7465.699999999985
42,TENNESSEE,TN,334300,10103.560000000038
43,TEXAS,TX,1208766,14634.040000000146
44,UTAH,UT,173002,25857.829999999976
45,VERMONT,VT,107484,29555.08999999991
46,VIRGINIA,VA,405874,12468.940000000128
47,WASHINGTON,WA,396879,17657.740000000023
48,WEST VIRGINIA,WV,246755,13530.50999999994
49,WISCONSIN,WI,1166684,34034.249999999796
50,WYOMING,WY,39820,15003.519999999997
